Triathlethe (ORAS)	https://www.youtube.com/watch?v=c6CzMm6egRY
Hiker (ORAS)	https://www.youtube.com/watch?v=LQMGB9bZxhk
Chairman Rose (SwSh)	https://www.youtube.com/watch?v=ug6olpLaP7w
Team Aqua (ORAS)	https://youtu.be/KRND2b2CGF0?list=PLjyLjyXJQJUOmFMmLbQQaA9_z7Dz1jxY5
Jovi - Sad (XD)	https://youtu.be/r6FvMbE-BnA?list=PLxdQfrU9eTcPBg53-ZFXERH-8vUmcdrY5
Swimmer♀ (ORAS)	https://www.youtube.com/watch?v=NTBqE3FbHAM
bye	bye
Professor Sada/Turo (SV)	https://www.youtube.com/watch?v=yHiGNsaXWo0
Mustard (SwSh)	https://www.youtube.com/watch?v=QS9pQq7KzIg
Street Thug (ORAS)	https://www.youtube.com/watch?v=-CEYidenrCc
Looker - In Trouble (XY)	https://youtu.be/BIuu5GJGPnU?list=PLEiOTsktKIouLCyT3oZmNhIlYgSfk_l4j
Sage (HGSS)	https://www.youtube.com/watch?v=O2Fu1_w9lAQ
Spiky Eared Pichu (HGSS)	https://www.youtube.com/watch?v=RBG9shKVZh0
Battle Girl & Black Belt (BDSP)	https://www.youtube.com/watch?v=pUSagN2mMNc
Lillie (SM)	https://www.youtube.com/watch?v=0bTNVQsdlrE
Drayton (SV)	https://www.youtube.com/watch?v=pA2jumg5fDU
Worker (SwSh)	https://www.youtube.com/watch?v=HlMOBYIjNqY
Irida (Legends Arceus)	https://youtu.be/l8fimmgTddQ?list=PLAdAjC3LAIo9COcEMbjJP3Jn5QDBGriFj
Blue (SM)	https://www.youtube.com/watch?v=2W7w09os-iA
Silver (HGSS)	https://www.youtube.com/watch?v=xSQsoi6D1Lw
Dawn (BDSP)	https://www.youtube.com/watch?v=GGkjqa3aspg
Miror B (XD)	https://youtu.be/CVv0ZFvvBW4?list=PLxdQfrU9eTcPBg53-ZFXERH-8vUmcdrY5
Clair (HGSS)	https://www.youtube.com/watch?v=LyMm1Sx-rxA
Bianca - Unwavering Heart (BW)	https://www.youtube.com/watch?v=ENuIxRDb0vc
Blue (RBY)	https://www.youtube.com/watch?v=PFZAcOcE2No
Bede (SwSh)	https://www.youtube.com/watch?v=uifbBsuC6Ko
Kieran - Blueberry League (SV)	https://www.youtube.com/watch?v=3XZ_3FT7ucc
bye	bye
Scientist (BW)	https://www.youtube.com/watch?v=-5nLENCMhfs
Colress (BW2)	https://www.youtube.com/watch?v=QDei8FqD2M4
Elite Four (BDSP)	https://www.youtube.com/watch?v=V3X0DvFyOq4
Briar (SV)	https://www.youtube.com/watch?v=MEIl7jVeBZ8
Friends - "Reunited" (XY)	https://www.youtube.com/watch?v=RAekAf5K9B0
Hex Maniac (ORAS)	https://www.youtube.com/watch?v=03LRQrgE8XQ
Director Clavell (SV)	https://youtu.be/vXm8HJxS44o
Klara (SwSh)	https://www.youtube.com/watch?v=U5J1rN142nA
Clive (SV)	https://www.youtube.com/watch?v=Wkfh6_9LE2E
Nascour (Colosseum)	https://youtu.be/mZWNCyFPJ9s?list=PLUXEBUs17WcS0QGfF15zDGFBkhlDqWGMt
Parasol Lady (BW)	https://www.youtube.com/watch?v=O7jsny96J3U
Emma (XY)	https://www.youtube.com/watch?v=9zXRN1QznGA
Scuba Diver (ORAS)	https://www.youtube.com/watch?v=McR4y0vsBKc
Team Star (SV)	https://www.youtube.com/watch?v=Oy-Vb0HQxQg
Maid (XY)	https://www.youtube.com/watch?v=A_68P-OzAsM
Roughneck (BW)	https://www.youtube.com/watch?v=osFgOcpdFaw
Punk Guy (XY)	https://www.youtube.com/watch?v=leHRSIJxDBo
Team Skull Appears (SM)	https://www.youtube.com/watch?v=-ZX6eC7FFz4
Blue (FRLG)	https://www.youtube.com/watch?v=BfMDGJJl_LU
Cedric Juniper (BW)	https://www.youtube.com/watch?v=Pf27ZMkLjtU
bye	bye
Alder (BW)	https://www.youtube.com/watch?v=Lxu5K2HlAxE
Bug Catcher & Youngster (HGSS)	https://www.youtube.com/watch?v=c3hTt3wkdpc
Backpacker (BW)	https://www.youtube.com/watch?v=XGPOkrSigyY
Poké Fan (XY)	https://www.youtube.com/watch?v=VV2F1DlWbn4
Twins (BW)	https://www.youtube.com/watch?v=sB3WUyiXbRA
Backpacker & Swimmer♂ (XY)	https://www.youtube.com/watch?v=dSLSAY-Wiow
PokéFan (BW)	https://www.youtube.com/watch?v=hogz6mak3ac
Looker (XY)	https://www.youtube.com/watch?v=RjBOmX_kJCI
Brendan (ORAS)	https://www.youtube.com/watch?v=MpF2EibRdpE
Fadeen the Fortune Teller (Colosseum)	https://www.youtube.com/watch?v=xok_S3BsmZw&list=PLUXEBUs17WcS0QGfF15zDGFBkhlDqWGMt&index=16&t=3s&pp=iAQB
Cynthia (BDSP)	https://www.youtube.com/watch?v=rKybc3lYPBs
Team Aqua (RSE)	https://www.youtube.com/watch?v=ilmbS0nLa0g
Professor Kukui (SM)	https://www.youtube.com/watch?v=KLmXOpfwoYM
Twins (XY)	https://www.youtube.com/watch?v=q0fxqXONAnY
Psychic (ORAS)	https://www.youtube.com/watch?v=A5FhpkiZh6s
Wally (ORAS)	https://www.youtube.com/watch?v=GtF_x-jYhHU
Team Flare (XY)	https://www.youtube.com/watch?v=pxhMl_FX-7Y
Teacher Theme (SV)	https://www.youtube.com/watch?v=6wVTQYELQlY
Ace Trainer (BW)	https://www.youtube.com/watch?v=RV4d1OpMJ-Q
Zinnia - Sorrow (ORAS)	https://www.youtube.com/watch?v=qQYDPH7JAik
bye	bye
Professor Rowan (BDSP)	https://www.youtube.com/watch?v=zb4nBcalrnY
Mr. Verich (XD)	https://youtu.be/ByPmUy2AAXs?list=PLxdQfrU9eTcPBg53-ZFXERH-8vUmcdrY5
May (ORAS)	https://www.youtube.com/watch?v=2gzhLbsRmTY
Weird Trainer (SwSh)	https://www.youtube.com/watch?v=ywifuO3nMP0
Team Magma (ORAS)	https://www.youtube.com/watch?v=qA204pr4BxU
Professor Oak (Let's Go)	https://www.youtube.com/watch?v=JH4KPFO8dho
Team Yell (SwSh)	https://www.youtube.com/watch?v=2auNxmRG8Wo
Furisode Girl (XY)	https://www.youtube.com/watch?v=MX60e87CWzY
Team Plasma (BW)	https://www.youtube.com/watch?v=pMl6Nbdw9k0
Team Galactic (BDSP)	https://www.youtube.com/watch?v=xIMFBDu8V6I
Cynthia (BW)	https://www.youtube.com/watch?v=6xAVqo4AVHo
Ghetsis (BW)	https://www.youtube.com/watch?v=S6XCD0VIR1k
Gentleman, Socialite, Rich Boy & Lady (BDSP)	https://www.youtube.com/watch?v=FwmU6CfHvBw
Island Kahuna (SM)	https://www.youtube.com/watch?v=9lgl97paf7c
Lass (SwSh)	https://www.youtube.com/watch?v=YK8nbyZ3EKg
Looker - Sorrowful (XY)	https://www.youtube.com/watch?v=C1kcLNr0wec
Cipher Admin (XD)	https://youtu.be/-uCnUfAgQrY?list=PLxdQfrU9eTcPBg53-ZFXERH-8vUmcdrY5
The Elite Four (RSE)	https://www.youtube.com/watch?v=WX3nNyZddAA
Looker (BW)	https://www.youtube.com/watch?v=9rZIPHn9gWo
Team Plasma (BW2)	https://www.youtube.com/watch?v=cbH6y7_FGGI
Cheren (BW)	https://www.youtube.com/watch?v=1h6NJjH8tWI
Hop (SwSh)	https://www.youtube.com/watch?v=TrRzYe4WSTA
Penny (SV)	https://www.youtube.com/watch?v=fx3-GWbiWCY
Psychic (BW)	https://www.youtube.com/watch?v=v17ruEvJf8k
bye	bye
Steven (ORAS)	https://www.youtube.com/watch?v=DySWCtVhL-Q
Cyclist (BW)	https://www.youtube.com/watch?v=X_CeHsL7kQs
Ethan (HGSS)	https://www.youtube.com/watch?v=hrMez0cEmsw
