Thrifty Megamart (Alola)	https://www.youtube.com/watch?v=e7GWqF7T-TI&list=PLEiOTsktKIotI7orc63yCGdouBd17CH_n&index=86&pp=iAQB8AUB
Salon (Galar)	https://www.youtube.com/watch?v=Q3Q-t46wUs8&list=PLEiOTsktKIovGIly0mCJozvAftHkVkt6r&index=45&pp=iAQB8AUB
Boutique (Kalos)	https://www.youtube.com/watch?v=VX_zvWeMTUo&list=PLEiOTsktKIovCDCmCjvxZK5z4nuzVe4vM&index=72&pp=iAQB8AUB
bye	bye
Apparel Shop (Alola)	https://www.youtube.com/watch?v=IDiAbakJDto&list=PLEiOTsktKIotI7orc63yCGdouBd17CH_n&index=31&pp=iAQB8AUB
Pokémon Center (Unova)	https://www.youtube.com/watch?v=3X3UZmcVp5o&list=PLEiOTsktKIothazq4kYlFfP3p4L0uIHMT&index=6&pp=iAQB8AUB
Sushi High Roller (Kalos)	https://www.youtube.com/watch?v=NtHR1axCeQQ&list=PLEiOTsktKIovCDCmCjvxZK5z4nuzVe4vM&index=66&pp=iAQB8AUB
Malasada Shop (Alola)	https://www.youtube.com/watch?v=w1qfBxtAnIY&list=PLEiOTsktKIotI7orc63yCGdouBd17CH_n&index=50&pp=iAQB8AUB
bye	bye
PokéMart (Hoenn)	https://youtu.be/FqMDerbLgP0?list=PLEiOTsktKIouDG9I5v-tHoJn5sca7Gatl
Boutique (Galar)	https://www.youtube.com/watch?v=fgPDAZ82IRk&list=PLEiOTsktKIovGIly0mCJozvAftHkVkt6r&index=13&pp=iAQB8AUB
Coiffure Clips (Kalos)	https://www.youtube.com/watch?v=nuXbol65wrg&list=PLEiOTsktKIovCDCmCjvxZK5z4nuzVe4vM&index=83&pp=iAQB8AUB
Café (Alola)	https://www.youtube.com/watch?v=E8Sbs-Hmb64&list=PLEiOTsktKIotI7orc63yCGdouBd17CH_n&index=26&pp=iAQB8AUB
Metronome Style Shop (Sinnoh)	https://youtu.be/TsdQmcRtaB8?list=PLEiOTsktKIovnaqHn5cMCITluR7APuqau
Shopping Mall Nine (Unova)	https://www.youtube.com/watch?v=ZwDaip8dEYU&list=PLEiOTsktKIothazq4kYlFfP3p4L0uIHMT&index=89&pp=iAQB8AUB
Salon (Alola)	https://www.youtube.com/watch?v=wCoymQ8lUBI&list=PLEiOTsktKIotI7orc63yCGdouBd17CH_n&index=52&pp=iAQB8AUB
